condition,mean_log2Error,ci_lower,ci_upper
R,3.6224276629768384,3.11918331156611,4.086031947424458
G,3.689558941612434,3.19442354534707,4.136877663257802
RGB,3.9064925895152376,3.492117400790422,4.32098220481029
