condition,n_trials,mean_log2Error,median_log2Error,mean_rawError
R,56,3.6224276629768384,3.9650452463489243,22.232142857142858
G,62,3.689558941612434,3.8695210998448912,24.016129032258064
RGB,53,3.906492589515238,4.011227255423254,23.358490566037737
