State 1, State 2, Population Density Difference Percentage 
Delhi, Bihar, 44
West Bengal, Uttar Pradesh, 13
Maharashtra, Gujarat, 12
Tamil Nadu, Karnataka, 59
Kerala, Andhra Pradesh, 100
Haryana, Rajasthan, 100
Assam, Odisha, 54
Punjab, Jharkhand, 21
Madhya Pradesh, Chhattisgarh, 100
Uttarakhand, Himachal Pradesh, 64
